"_acl.*.r",_acl.*.w,_acl.9eF1W1pu4q.r,_acl.9eF1W1pu4q.w,_acl.FQ1Xe0d6Qd.r,_acl.FQ1Xe0d6Qd.w,_acl.SnQkkuL1NC.r,_acl.SnQkkuL1NC.w,_acl.rIJxILE6XL.r,_acl.rIJxILE6XL.w,_acl.t0egIyLR5z.r,_acl.t0egIyLR5z.w,_created_at,_id,_p_autor,_p_estudiante,_p_tipo,_rperm.0,_rperm.1,_updated_at,_wperm.0,_wperm.1,actionTaken,aprobado,descripcion,fechaEntrega,grupos.0.__type,grupos.0.className,grupos.0.objectId,grupos.1.__type,grupos.1.className,grupos.1.objectId,grupos.2.__type,grupos.2.className,grupos.2.objectId,grupos.3.__type,grupos.3.className,grupos.3.objectId,materia,titulo
"",,,,,,,,,,,,2016-10-13T20:06:38.618Z,JqWHzIjvLO,_User$2prODvgVi6,Estudiantes$WjuWa0xzsC,tipoAnuncio$UvcbCWcRGE,,,2016-10-13T20:06:38.618Z,,,,true,Buenas tardes señora.\nYa volteamos el salón de cabeza y ya pregunté en jirafas y no hay bata con el nombre de Rebeca. Yo tengo aquí una bata con tres meses de uso que dejó un chiquito que se cambió de ciudad el año pasado. Sería solamente mandar bordar el nombre de Rebeca. Y la otra es una de las muestras que nos manda la maquiladora. Está casi nueva y también le podemos mandar bordar el nombre.\nLas responsables de cuidar que esto no suceda tienen la obligación de reponer la prenda. Así que nueva o seminueva le entregaremos la bata en cuanto usted nos diga.\nQuedo en espera de su respuesta.\nMiss Lala,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-07T20:30:56.040Z,Jrv3WX14ya,_User$efvTuMGGQo,Estudiantes$E9CkqllAYJ,tipoAnuncio$8RDIvLSSbA,,,2016-09-07T21:22:45.506Z,,,true,true,Buenas tardes!\nLe pido de favor considerar a Carmín para taller de fútbol. \nGracias!\n,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-11-23T14:17:52.082Z,Js9OmlyjL2,_User$2prODvgVi6,Estudiantes$Frf38DSxPm,tipoAnuncio$Kiot3adF10,,,2016-11-23T14:17:52.082Z,,,,true,"¡Buenos días!\nAntes que nada les ofrezco una disculpa por tardarme en contestarles, pero hemos tenido problemas con el internet del colegio y ayer yo estuve ausente.\nEl departamento de Psicología me pide también una cita con ustedes. Por lo tanto, permítanme por favor checar cuando puede atenderlos Miss Tere Pliego y les aviso inmediatamente.\nEstamos en comunicación.\nAtentamente\nMiss Lala",,,,,,,,,,,,,,General,
true,true,,,,,,,true,true,,,2016-09-07T18:08:34.469Z,JtP4Mm4Q4e,_User$rIJxILE6XL,Estudiantes$k9X7bxxVai,tipoAnuncio$8RDIvLSSbA,*,rIJxILE6XL,2016-09-07T18:08:54.774Z,*,rIJxILE6XL,true,true,muchas gracias!,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-01-08T17:22:31.005Z,JthkEaOczD,_User$efvTuMGGQo,Estudiantes$E9CkqllAYJ,tipoAnuncio$8RDIvLSSbA,,,2016-01-13T20:37:06.356Z,,,true,true,Hola buen fin de semana!!,,,,,,,,,,,,,,General,
true,true,,,,,true,true,,,,,2016-12-14T17:41:10.566Z,Jvfplcx5da,_User$SnQkkuL1NC,Estudiantes$g0bEXnk97K,tipoAnuncio$cVxa8V84VG,*,SnQkkuL1NC,2016-12-14T17:41:10.566Z,*,SnQkkuL1NC,,true,"Muchas gracias, es que intenté explicarle a Emilio , pero insistió demasiado en que estábamos mal.SALUDOS \n",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-05T21:42:20.765Z,JxZSBLaLgV,_User$jjqsGnt06T,Estudiantes$dOnWt5jF1o,tipoAnuncio$cVxa8V84VG,,,2016-10-06T15:53:36.599Z,,,true,true,"Miss Carmelita, la tarea de Español no pudo ser efectuada por Ricardo, ya que en su mochila no venía el cuaderno.\n\nSaludos.\n\nJuan Snyder.",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2015-11-26T01:50:50.247Z,JyghC4CTer,_User$cR2uTvVmV9,Estudiantes$aFf8OAPEL0,tipoAnuncio$8RDIvLSSbA,,,2015-12-04T02:02:20.250Z,,,true,true,"Hola, todo muy bien, conociendo la aplicación. \nLo único malo fue que me cobraron 90 pesos por descargarla jeje. Saludos ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-12T17:55:28.507Z,Jzxvw8sOHr,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-10-17T22:05:06.874Z,,,,true,"Libro: Vamos a trazar página 29.\nComienza en la ""X"" y sigue la indicación de la flecha. Traza varias veces.\nGracias\nMiss Carmelita.",2016-10-13T17:55:34.000Z,Pointer,grupo,HxsN3Wf3WF,Pointer,grupo,YUlRLGut9k,,,,,,,Español,
"",,,,,,,,,,,,2016-09-20T14:19:22.155Z,K0jG8Kj0y8,_User$vodlzzvgcy,Estudiantes$dOnWt5jF1o,tipoAnuncio$8RDIvLSSbA,,,2016-09-20T14:54:00.313Z,,,true,true,"Buenos días Miss Lala , para informarle que Richy se está quedando a taller de futbol, en su mochila los martes y jueves lleva su pants , playera y tenis para el taller , favor de cambiarlo .\nGracias .\n",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-20T14:57:36.591Z,K1q5BqSWQa,_User$2prODvgVi6,Estudiantes$eyaHhdBWHF,tipoAnuncio$4e5Ojw4gRT,,,2016-09-20T14:57:36.591Z,,,,true,Buenos días!\nGracias por avisarnos de su cita en México.\nVoy a checar que pasó con la bata y mañana le tengo una respuesta.\nSaludos\nMiss Lala\n,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-26T15:36:18.094Z,K3HBYhHliH,_User$2prODvgVi6,Estudiantes$BdF5iyolar,tipoAnuncio$cVxa8V84VG,,,2016-09-26T15:36:18.094Z,,,,true,Buen día \n   Puede pegar otra cartulina como soporte \nGracias,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-11-09T18:41:17.895Z,K9DuyRntQd,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-11-13T03:49:37.834Z,,,,true,"HOMEWORK \nPágina 30. Traza los círculos y coloréalos de color verde. \nThank you! \nMiss Gaby y Miss Eva ",2016-11-10T18:41:21.000Z,Pointer,grupo,8zoHGyLKb7,Pointer,grupo,64pgpsXXxk,Pointer,grupo,JUJC6JvxFz,,,,Inglés,
"",,,,,,,,,,,,2016-10-21T14:45:00.149Z,KAtpTdAJds,_User$2prODvgVi6,Estudiantes$FIr4iWfIFD,tipoAnuncio$8RDIvLSSbA,,,2016-10-21T14:45:00.149Z,,,,true,Buenos días!\nMuchas gracias por las felicitaciones. Estamos para servirle.\nSaludos \nMiss Lala,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-20T22:36:24.176Z,KBAOCUr6ZR,_User$9eF1W1pu4q,Estudiantes$lgBXhp5LkF,tipoAnuncio$cVxa8V84VG,,,2016-10-20T22:36:24.176Z,,,,true,Hola buenas tardes... me llego que tenía tarea tanto de ingles como de español y no me enviaron ningún cuaderno... \npara que mañana por favor me los envíes para entregarlos el lunes y que el fin de semana para también avanzarle a lo de sus faltas!gracias Buen Día \n,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-11T21:05:05.324Z,KBYXoURwDI,_User$Vf4UEckKCV,Estudiantes$yIA2rQ4L0o,tipoAnuncio$cVxa8V84VG,,,2016-10-11T21:05:05.324Z,,,,true,"Miss Lala\n\nReferente a la tarea de ingles del libro Phonics, tuve duda en la imagen referente al candado y la oruga ya que ninguno de los 2 empieza con ""L""\n\nPor lo mismo no está marcado, le agradecería me informara como consideran esta imagen para tenerlo presente\n\nGracias.",,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2015-11-27T00:24:04.234Z,KCeKAPVE3E,_User$KX9R8KmAFl,Estudiantes$QPMoXzQ3sb,tipoAnuncio$8RDIvLSSbA,KX9R8KmAFl,*,2015-12-04T02:31:14.259Z,*,KX9R8KmAFl,true,true,recibí mensaje de prueba\n,,,,,,,,,,,,,,General,
true,,,,true,true,,,,,,,2015-11-11T03:17:41.677Z,KDfewfKU7g,_User$FQ1Xe0d6Qd,Estudiantes$jRXDEYrP8U,tipoAnuncio$cVxa8V84VG,*,FQ1Xe0d6Qd,2015-11-11T08:30:02.389Z,FQ1Xe0d6Qd,,,true,Buen dia Miss!! el dia de ayer Cynthia se quedo dormida antes de realizar su tarea como ha estado agripada no se levanto para hacerla pero el dia de mañana la pomgo a que haga las tareas de hoy y mañana...muchas gracias y una disculpa 😊,,,,,,,,,,,,,,General,Buen dia Miss!! el dia de ayer Cynthia se quedo dormida antes de realizar su tarea como ha estado agripada no se levanto para hacerla pero el dia de mañana la pomgo a que haga las tareas de hoy y mañana...muchas gracias y una disculpa 😊
"",,,,,,,,,,,,2016-11-22T18:39:55.696Z,KEsyyEwWhW,_User$2prODvgVi6,,tipoAnuncio$UvcbCWcRGE,,,2016-12-08T01:30:11.447Z,,,,true,"¡Buenas tardes Papitos!\nLes enviamos  un cordial saludo y al mismo tiempo les recordamos que este viernes 25 de noviembre se llevará a cabo el C.T.E. (Consejo Técnico Escolar)  por tal motivo habrá SUSPENSIÓN DE LABORES. \n\nGracias por su comprensión. \nAtentamente \nDirección preescolar ",,Pointer,grupo,pSku5ZBZAv,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-08-30T14:48:26.016Z,KGQUGdtqbu,_User$n69zugb7Ta,Estudiantes$tVTWViZvcG,tipoAnuncio$8RDIvLSSbA,*,n69zugb7Ta,2016-08-30T16:05:00.312Z,n69zugb7Ta,*,true,true,Ahora si venía información. Gracias\n\n\n,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-08-23T16:52:43.803Z,KHSdd4JpRq,_User$2prODvgVi6,,tipoAnuncio$UvcbCWcRGE,,,2016-08-24T18:39:37.796Z,,,,true,"Buenos días papás de Kínder 1C:\nAntes que nada quiero comunicarles que sus pequeños se encuentran trabajando muy bien y muy adaptados.\nEs importante que sepan el rol de uniforme para la semana:\nLunes y miércoles y viernes vendrán vestidos con pants.\nMartes y jueves con uniforme de gala.\nLos calcetines, las calcetas o mallas son de color azul marino. No está permitido portar botas de ningún tipo o zapatos que no sean azul marino o negro.\nTambién es de suma importancia que TODAS LAS PRENDAS vengan marcadas con su nombre en un lugar visible, ya que no nos haremos responsables de pérdidas.\nIgualmente les recordamos que por reglamento las niñas deben asistir con su cabello recogido y los niños con cabello corto. Favor de apoyarnos en este aspecto.\nQuedo a sus órdenes para cualquier comentario.\nMiss Lala\nDirección Preescolar",,Pointer,grupo,8zoHGyLKb7,,,,,,,,,,General,
true,true,,,,,,,,,true,true,2016-11-03T14:56:54.775Z,KIA1A3maJc,_User$t0egIyLR5z,Estudiantes$lhQopclBpK,tipoAnuncio$8RDIvLSSbA,*,t0egIyLR5z,2016-11-03T16:54:29.507Z,*,t0egIyLR5z,true,true,Buen dia Miss Lala. El martes que recogi a Marco un compañero lo habia lastimado porque llevaba unos lentes como accesorio....de la manera mas atenta le pido que si tenga una llamada de atencion y consecuencia quien haya sido porque no es la primera vez de hecho puede ver en su entreceja la costra.\nY una disculpa por lo que le comentaba del libro extraviado...no se si esta en el salon o no pero la semana pasada si con tantas cosas en mi cabeza paso esta situacion. Yo ya busque y en casa no esta. De no estar en la escuela si me puede avisar para reponerlo......gracias,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-17T17:37:34.011Z,KJf84UDPnd,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-10-27T02:25:52.251Z,,,,true,Manual de matemáticas página 22.\nColorea en forma circular respetando el contorno. Comienza en la parte de arriba y sigue la dirección de la flecha. Utiliza crayola verde.\nGracias.\nMiss Sandra y Miss Alexa.,2016-10-18T17:37:34.000Z,Pointer,grupo,JUJC6JvxFz,Pointer,grupo,8zoHGyLKb7,Pointer,grupo,64pgpsXXxk,,,,Español,
"",,,,,,,,,,,,2016-11-17T19:35:05.628Z,KQAfwUfofY,_User$2prODvgVi6,Estudiantes$FIr4iWfIFD,tipoAnuncio$8RDIvLSSbA,,,2016-11-17T19:35:05.628Z,,,,true,¡Buenas tardes!\nCon mucho gusto seguimos sus instrucciones.\nSaludos \nMiss Lala,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-11-09T16:38:44.837Z,KRiWnDVN3Y,_User$SU3QH1LI2g,Estudiantes$V6nKESnPkG,tipoAnuncio$8RDIvLSSbA,,,2016-11-09T16:38:44.837Z,,,,true,"Buenos días, les pido de la manera más atenta me envíen la playera del colegio; ayer no me la enviaron junto con la falda, mil gracias. ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-18T13:17:41.715Z,KTA448N89q,_User$2prODvgVi6,Estudiantes$lhQopclBpK,tipoAnuncio$8RDIvLSSbA,,,2016-10-18T13:17:41.715Z,,,,true,Buenos días!\nPermítame por favor preguntar en cuanto estén aquí todas sus misses.\nGracias.,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-20T18:15:43.207Z,KTOPXHSCvh,,,,,,2016-10-20T18:15:43.207Z,,,,,,,Pointer,grupo,HxsN3Wf3WF,,,,,,,,,,,
"",,,,,,,,,,,,2015-11-09T15:21:57.921Z,KWpXjDXsI0,_User$2prODvgVi6,,tipoAnuncio$UvcbCWcRGE,,,2015-12-03T21:08:32.906Z,,,,true,Buenas días:\nSeguimos aprendiendo a utilizar nuestra aplicación. Les pedimos de favor enviarnos algún mensaje de prueba.\nMuchas gracias.\nMiss Lala,,Pointer,grupo,HxsN3Wf3WF,,,,,,,,,,General,
"",,,,,,,,,,,,2016-08-22T14:49:32.437Z,KXrYmuU3V8,_User$2prODvgVi6,Estudiantes$dOnWt5jF1o,tipoAnuncio$8RDIvLSSbA,,,2016-08-22T14:49:32.437Z,,,,true,"No se preocupe. Como no tenemos checador de este lado, apenas están actualizando la entrada.\nBuen día.",,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-09-05T21:12:46.817Z,KbdSRWXU95,_User$L0ma1OeqS6,Estudiantes$4hqjx4dhIB,tipoAnuncio$8RDIvLSSbA,*,L0ma1OeqS6,2016-09-06T15:03:02.630Z,*,L0ma1OeqS6,true,true,"Miss Lala,  favor de pasar a Sebastián  a clase muestra de expresión corporal, está en K2B",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-18T16:43:56.454Z,KebQlw7ZgE,_User$2prODvgVi6,Estudiantes$dOnWt5jF1o,tipoAnuncio$8RDIvLSSbA,,,2016-10-18T16:43:56.454Z,,,,true,Buenos días!\nCon mucho gusto lo recibimos más tarde por tratarse de un trámite importante. Le pido de favor anexar una copia de la cita o del recibo de pago.\nSaludos\nMiss Lala,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-07T15:58:35.361Z,KfXi1iPSMn,_User$mxPTtHq1G2,Estudiantes$R4cmD3rRYj,tipoAnuncio$8RDIvLSSbA,,,2016-09-07T18:17:10.979Z,,,true,true,"Buenos días Miss:\n\nLes comento que el día lunes 5 , al recoger a Giselle mi esposo se dio cuenta de que traía puesta otra sudadera que pertenecía a un niño, a lo cual la regreso , pero la de ella no la entregaron , quiero pedirle si pueden revisar si la tiene en el salón pf.\n\nEl día de hoy se fue solo con el pantalón del pans, la sudadera en la etiqueta viene su nombre \n\nSaludos y quedo a la orden \n\nMama De Giselle \n",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-14T20:32:47.052Z,KfzvjAMCy7,_User$vodlzzvgcy,Estudiantes$dOnWt5jF1o,tipoAnuncio$8RDIvLSSbA,,,2016-09-15T15:47:59.269Z,,,true,true,Muchas gracias Miss . \nNos vemos el lunes !\nY feliz día de la independencia !!\nViva México !!\n,,,,,,,,,,,,,,General,
true,true,,,,,,,,,true,true,2016-10-19T14:44:59.850Z,KgZLb9SBWt,_User$t0egIyLR5z,Estudiantes$lhQopclBpK,tipoAnuncio$8RDIvLSSbA,*,t0egIyLR5z,2016-10-19T14:59:13.955Z,*,t0egIyLR5z,true,true,Miss Lala ya encontre la confusion aqui. tengo todos los certificados de sep pero me confundi porque el de 2 no lo firmo la miss Titular Azucena sino Miss Miriam.\nmuchisimas gracias por su apoyo. saludos y bonito dia!,,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-10-12T15:56:14.054Z,KgfSZt8njN,_User$Q33Hpedria,Estudiantes$6FjwgJhsB7,tipoAnuncio$cVxa8V84VG,Q33Hpedria,*,2016-10-12T16:38:34.540Z,*,Q33Hpedria,true,true,"Buenos días, tengo duda de la tarea del cuaderno de matemáticas, ya no vendrán marcadas con sello?, o cada alumno ya va a saber cual se quedo de tarea. Gracias",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-01T14:23:19.258Z,Kit8GQcvw1,_User$2prODvgVi6,Estudiantes$HCiAI0z8vv,tipoAnuncio$8RDIvLSSbA,,,2016-09-01T14:23:19.258Z,,,,true,Buenos días!\nCon mucho gusto seguimos sus instrucciones.\nSaludos\nMiss Lala,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-08-31T20:12:19.492Z,Km6WN342tM,_User$2prODvgVi6,Estudiantes$V6nKESnPkG,tipoAnuncio$Kiot3adF10,,,2016-08-31T20:12:19.492Z,,,,true,"Buenas tardes! \nPor indicaciones de la Supervisión Escolar, es necesario realizar una cita personal con su Miss titular de español. Les pido de  favor agendar la cita para mañana o el viernes a más tardar ya que nos urge terminar las entrevistas. Si gustan confirmar por este medio o con una llamada al colegio con Karla en filtro.\nAgradezco de antemano su apoyo.\nMiss Lala",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-08-22T21:40:49.456Z,Kme6KP1eEu,_User$SU3QH1LI2g,Estudiantes$V6nKESnPkG,tipoAnuncio$8RDIvLSSbA,,,2016-08-23T13:53:44.421Z,,,true,true,"Enterada, aprecio mucho su atención, excelente tarde ! ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-25T14:22:57.174Z,KnTBTBaMlN,_User$2prODvgVi6,Estudiantes$sTyy5hm6m6,tipoAnuncio$8RDIvLSSbA,,,2016-10-25T14:22:57.174Z,,,,true,"¡Buenos días Papitos! \nLes informamos que el día de hoy no habrá taller de futbol por razones ajenas a nosotros, vamos a tratar de reponer la clase y de no ser posible, se ajustará en la cuota del siguiente mes.\nGracias por su comprensión. \nCoordinación Preescolar ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2015-12-04T02:16:22.115Z,KpJY6P3n5t,_User$2prODvgVi6,Estudiantes$cpdaI2JhjD,tipoAnuncio$UvcbCWcRGE,,,2015-12-04T02:18:44.416Z,,,,true,Hola buenas noches!\nContestando apenas el mensaje de prueba. Una disculpa pero tuve que esperar unos días a que a mí también me descargaran la aplicación ya con todos los ajuste que le hicieron. Considero que tendremos una comunicación efectiva y constante. \nQuedo a sus órdenes.\nMiss Lala,,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-02-27T01:28:42.747Z,KqkR7unWi1,_User$yz2lGzmlJp,Estudiantes$69Zeu68J2e,tipoAnuncio$knJCpPHggt,*,yz2lGzmlJp,2016-03-02T17:05:42.466Z,*,yz2lGzmlJp,true,true,miss ana victoria tienr gripa no es influenza pero hasts que este bien asistira a clases,,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-09-01T20:55:01.015Z,KucMaKJcZV,_User$sA8IcZc8fF,Estudiantes$SUz4JL1hbe,tipoAnuncio$8RDIvLSSbA,sA8IcZc8fF,*,2016-09-02T14:38:35.951Z,*,sA8IcZc8fF,true,true,Y qué pasó con el taller de Tae-Kwon-Do? \n,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-11T16:48:59.209Z,L1ycoJhgMF,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-10-17T00:03:01.908Z,,,,true,"¡Buenos días Papitos!\n-Manual de matemáticas página 20.\nMarca las líneas horizontales, comienza de derecha a izquierda. Utiliza 5 colores diferentes. \nGracias.\nMiss Alexa y Miss Sandra ",2016-10-12T16:49:02.000Z,Pointer,grupo,64pgpsXXxk,Pointer,grupo,JUJC6JvxFz,Pointer,grupo,8zoHGyLKb7,,,,Español,
"",,,,,,,,,,,,2016-03-15T21:05:10.904Z,L2lejY9Xiy,_User$2prODvgVi6,Estudiantes$fw6gURfK3A,tipoAnuncio$UvcbCWcRGE,,,2016-03-15T21:05:10.904Z,,,,true,"Buenas tardes.\nLes queremos informar que el jueves 17 de marzo NO habrá clase de ballet, será repuesta el viernes 18 en los mismos horarios.\nPor su atención, muchas gracias.\nDirección Preescolar",,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2015-12-09T18:10:13.134Z,L2mpU3l1aX,_User$SWE0Qac34W,Estudiantes$OQ8B9dQdUC,tipoAnuncio$8RDIvLSSbA,*,SWE0Qac34W,2016-01-13T20:38:07.813Z,SWE0Qac34W,*,true,true,"Miss Lala buenos días una pregunta la gorra y guantes debe ser de algún color en especial o cualquier color.\ngracias ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-11-07T12:11:38.193Z,L7D8A1Z9zq,_User$QfIPrrrgwK,Estudiantes$nh9u1eVeAQ,tipoAnuncio$8RDIvLSSbA,,,2016-11-07T15:50:20.656Z,,,true,true,"Gracias Miss Lala, entiendo que ahora las educación va mucho más rápido y me queda claro que ustedes solo buscan que los niños salgan lo mejor preparados, sin embargo en mi caso hacer la tarea con José Manuel de pronto se torna un tanto difícil porque pasa mucho tiempo en la escuela debido a los horarios de trabajo de nosotros y en muchas ocasiones una vez que sale ya no quiere saber nada, lo cual no me extraña porque recuerdo cuando era niña y me pasaba lo mismo, sé que no pueden dejarle menos tarea a José Manuel porque debe ir al parejo con todos los niños, solo quise expresarlo porque ese día si vi agotado a José Manuel y me expreso sin berrinche ni enojo, que estaba cansado y que ya no quería trabajar más en cosas de la escuela, motivo por el cual yo decidí que no hiciera la tarea y que descansara pues solo tiene 5 años y aún le faltan mucho años más de escuela, no obstante en la medida de lo posible procuraré que José Manuel haga la tarea todos los días para que no se vea afectado al final del ciclo. Misa Lala le agradezco su tiempo y el todas la misses. \nSaludos!!! 😀",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-11T20:10:41.836Z,L9r3w0w4om,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-10-12T18:38:13.749Z,,,,true,¡Buenas tardes papitos!\nVamos a hacer un pequeño proyecto el viernes 14. Les pido su apoyo para mandar en la mochila una lata chica de atún vacía y muy limpia. De preferencia en una bolsita de plástico con nombre.\nMuchas gracias.\nMiss Miriam,2016-10-14T20:10:45.000Z,Pointer,grupo,dTbUGaumaH,Pointer,grupo,pSku5ZBZAv,,,,,,,Español,
"",,,,,,,,,,,,2016-10-11T16:51:08.910Z,L9t1TLrqQf,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-10-17T00:02:57.761Z,,,,true,"HOMEWORK\n-Página 18 tacha los números ""1"".\nEncierra en un círculo los números ""2"".\nTraza los números ""3"" \nThank you! \nMiss Gaby y Miss Eva ",2016-10-12T16:51:12.000Z,Pointer,grupo,64pgpsXXxk,Pointer,grupo,JUJC6JvxFz,Pointer,grupo,8zoHGyLKb7,,,,Inglés,
"",,,,,,,,,,,,2016-09-29T17:41:56.750Z,LA7EDNqEiZ,_User$2prODvgVi6,,tipoAnuncio$UvcbCWcRGE,,,2016-10-04T11:01:55.296Z,,,,true,Papitos:\nMuchas gracias por el apoyo en vestir la silueta. ¡Todas  quedaron hermosas!\nSaludos\nMiss Carmelita,,Pointer,grupo,YUlRLGut9k,Pointer,grupo,HxsN3Wf3WF,,,,,,,General,
"",,,,,,,,,,,,2015-12-11T18:17:24.006Z,LAnZyB604F,_User$2prODvgVi6,Estudiantes$jRXDEYrP8U,tipoAnuncio$8RDIvLSSbA,,,2015-12-11T18:18:17.446Z,,,,true,Buenas tardes!\nNo se preocupe. Cuídela mucho y gracias por avisarnos.\nSaludos\nMiss Lala,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-01-14T21:06:26.568Z,LC7ZrYMzoP,_User$2prODvgVi6,,tipoAnuncio$UvcbCWcRGE,,,2016-03-17T03:23:34.017Z,,,,true,"En el mensaje anterior omití escribir que si es más fácil para ustedes, pueden traer el triciclo o la bicicleta en el transcurso del día.\nY la bicicleta es con llantitas de entrenamiento. NO plantitas. Una disculpa por favor.",,Pointer,grupo,YUlRLGut9k,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-08T18:18:05.193Z,LFvUyZZbIo,_User$2prODvgVi6,,tipoAnuncio$UvcbCWcRGE,,,2016-09-15T18:52:25.576Z,,,,true,"Buenas tardes papitos!\nMañana viernes haremos un trabajo de arte y vamos a pintar con las manos y con los pies, por lo que les pido de favor vestir  a su pequeño con prendas viejitas que se puedan salpicar de pintura y que no haya problema.\nMuchas gracias por su apoyo \nMiss Alexa",,Pointer,grupo,64pgpsXXxk,Pointer,grupo,JUJC6JvxFz,,,,,,,General,
"",,,,,,,,,,,,2016-03-15T21:09:29.450Z,LHreSwlauq,_User$2prODvgVi6,Estudiantes$p6hzoxumov,tipoAnuncio$UvcbCWcRGE,,,2016-03-15T21:09:29.450Z,,,,true,"Buenas tardes.\nLes queremos informar que el jueves 17 de marzo NO habrá clase de ballet, será repuesta el viernes 18 en los mismos horarios.\nPor su atención, muchas gracias.\nDirección Preescolar",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-25T14:25:23.244Z,LKDqZESIzL,_User$2prODvgVi6,Estudiantes$GOQIf6XPtt,tipoAnuncio$8RDIvLSSbA,,,2016-10-25T14:25:23.244Z,,,,true,"¡Buenos días Papitos! \nLes informamos que el día de hoy no habrá taller de futbol por razones ajenas a nosotros, vamos a tratar de reponer la clase y de no ser posible, se ajustará en la cuota del siguiente mes.\nGracias por su comprensión. \nCoordinación Preescolar ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-14T12:25:49.233Z,LMYqDCEY8Y,_User$SU3QH1LI2g,Estudiantes$V6nKESnPkG,tipoAnuncio$X84nYuH45F,,,2016-09-14T15:12:26.303Z,,,true,true,"Buenos días, me enviaron un manual de matemáticas de Rebeca  Leal y no el de Estefanía Segura, de igual manera hizo la tarea.  Saludos cordiales. ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-01-14T21:04:57.259Z,LMxhe2pH5i,_User$2prODvgVi6,,tipoAnuncio$UvcbCWcRGE,,,2016-05-25T11:22:27.798Z,,,,true,"En el mensaje anterior omití escribir que si es más fácil para ustedes, pueden traer el triciclo o la bicicleta en el transcurso del día.\nY la bicicleta es con llantitas de entrenamiento. NO plantitas. Una disculpa por favor.",,Pointer,grupo,JUJC6JvxFz,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-03T16:52:08.003Z,LQiaAw5vBb,_User$UbH8iToBhQ,Estudiantes$HCiAI0z8vv,tipoAnuncio$UvcbCWcRGE,,,2016-10-03T16:59:54.669Z,,,true,true,"Miss Lala\n\nNo quiero que se mal entienda que isabella debe venir impecable, pues entiendo que es una niña y juega y se ensucia. Pero el jueves si me pareció un poquito demasiado   . Y además no me reportaron nada. \n\nSaludos \n \nHelena",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-22T16:41:53.481Z,LQukBIYHZb,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-09-27T16:42:29.146Z,,,,true,"-Colorea las figuras geométricas del lado izquierdo y vuelve a trazarlas del lado derecho. Colorea del mismo color.  Pág. 10\nThank you!\nMiss Melba ",2016-09-23T16:41:59.000Z,Pointer,grupo,YUlRLGut9k,Pointer,grupo,HxsN3Wf3WF,,,,,,,Inglés,
